1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	2.249988742
1	1	1	1	4.973890363
1	1	1	1	5
1	1	1	1	4.442558317
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1.552673101	1	1	1	1
2.8276085	1	1	1	1
2.8276085	1	1	1	1
2.793804081	1	1	1	1
3.312327364	1.473717432	1	1	1
1	1.467658991	1	1	1
1	4.12521597	1	1	1
1	3.091810263	1	1	1
1	1	1	1	1
1	1.705350759	1	1	1
1	4.376426888	1	1	1
3.719389063	4.394243087	1	1	1
5	4.396024814	1	1	1
1.577959628	5	1	1	1
2.905289272	1.554112943	1	1	1
4.976318418	1	1	1	1
4.991708044	1	1	1	1
5	1	1	1	1
4.984276865	1	1	1	1
4.99454428	1	1	1	1
4.094709806	1	1	1	1
4.043346523	1	1	1	1
3.964177427	1	1	1	1
3.437780796	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	2.28864345	1	1
1	1	3.422326978	1	1
1	1	3.448253247	1	1
1	1	3.43204939	1	1
1	1	3.425567458	1	1
1	1	3.438530835	1	1
1	1	3.461216625	1	1
1	1	3.467698071	1	1
1	1	1.760246849	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	3.638794488	1	1
1	1	4.980764861	1	1
1	1	5	1	1
1	1	4.972759635	1	1
1	1	3.782470488	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	2.746263834	1
1	1	1	3.056255808	1
1	1	1	3.253736166	1
1	1	1	3.141238839	1
1	1	1	3.172013646	1
1	1	1	2.690358311	1
1	1	1	3.172013646	1
1	1	1	5	1
1	1	1	3.253736166	1
1	1	1	3.66723364	1
1	1	1	3.564582706	1
1	1	1	3.073293354	1
1	1	1	3.564582706	1
1	1	1	1	1
1	1	1.6042657	2.972191469	1
