4.981673238	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
5	1	1	1
3.954797	1	1	1
1	3.1538996	1	1
1	5	1	1
1	5	1	1
1	5	1	1
1	4.975701068	1	1
1	5	1	1
1	5	1	1
1	4.01588574	1	1
1	1	1	1
1	1	1	1
1	1	4.566193418	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	5	1
1	1	3.736901245	5
